country,total_expected_deaths,total_excess_deaths,percentage_above_typ
Peru,78071,89508,214.6494857245328
Bolivia,31925,23440,173.42208300704777
Ecuador,53348,36882,169.13473794706454
Mexico,197303,122122,161.89566301576764
Indonesia,26140,11374,143.51185921958685
Spain,288224,50506,117.5231764183413
Russia,79857,13613,117.04672101381219
India,52062,8338,116.01551995697437
Brazil,673317,103070,115.30779707032497
Chile,82231,11704,114.23307511765637
United Kingdom,421209,57335,113.61200734077381
United States,2025153,273773,113.51863291316755
Italy,314454,39524,112.56908800651289
Colombia,156484,16315,110.42598604330156
Belgium,75874,7411,109.76750929172047
South Africa,346267,31556,109.1131987743562
Turkey,54700,4873,108.90859232175502
Sweden,61224,5392,108.80700378936365
Netherlands,111671,6900,106.1788647007728
Ireland,14702,787,105.3530131954836
France,409518,18681,104.56170424743235
Portugal,77906,3287,104.21918722563089
Austria,58139,1113,101.91437761227404
Israel,28358,402,101.41758939276396
Finland,37152,444,101.19509043927648
Switzerland,47695,-250,99.47583604151379
Thailand,172166,-922,99.464470336768
South Korea,177649,-1285,99.27666353314683
Norway,28660,-382,98.66713189113747
Germany,629104,-10226,98.37451359393677
Denmark,40063,-1099,97.25682050770037
Japan,83824,-2819,96.63700133613285
